GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons DbUtils,org.apache.commons.dbutils,ResultSetIterator,24,48,0,4,9,12,2,8,2,6
Apache Commons DbUtils,org.apache.commons.dbutils,QueryLoader,4,76,1,5,1,21,1,8,0,6
Apache Commons DbUtils,org.apache.commons.dbutils,DbUtils.DriverProxy,4,35,0,0,1,9,1,7,1,7
Apache Commons DbUtils,org.apache.commons.dbutils,BasicRowProcessor,6,108,4,8,1,27,4,11,1,8
Apache Commons DbUtils,org.apache.commons.dbutils,AbstractQueryRunner,113,428,14,46,39,126,20,37,6,21
Apache Commons DbUtils,org.apache.commons.dbutils,DbUtils,87,79,10,12,31,51,10,21,5,15
Apache Commons DbUtils,org.apache.commons.dbutils,BeanProcessor,56,445,9,53,15,107,9,39,0,17
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.BatchCallableStatement,54,0,2,0,15,0,3,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.UpdateCallableStatement,52,0,2,0,15,0,3,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner,40,286,0,0,4,28,5,36,5,36
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.QueryCallableStatement,68,0,2,0,19,0,3,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,BasicRowProcessor.CaseInsensitiveHashMap,0,69,0,0,0,15,0,6,0,6
Apache Commons DbUtils,org.apache.commons.dbutils,StatementConfiguration.Builder,1,53,1,1,0,14,1,8,0,8
Apache Commons DbUtils,org.apache.commons.dbutils,OutParameter,16,51,0,2,3,18,3,7,3,6
Apache Commons DbUtils,org.apache.commons.dbutils,ProxyFactory,0,66,0,0,0,12,0,11,0,11
Apache Commons DbUtils,org.apache.commons.dbutils,GenerousBeanProcessor,0,72,1,11,0,19,1,7,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,BaseResultSetHandler,1018,30,1,1,283,8,188,5,187,5
Apache Commons DbUtils,org.apache.commons.dbutils,StatementConfiguration,21,96,2,14,2,21,3,19,1,13
Apache Commons DbUtils,org.apache.commons.dbutils,QueryRunner,157,582,11,51,30,158,19,46,8,26
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.properties,StringEnumPropertyHandler,0,20,0,4,0,3,0,5,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.properties,DatePropertyHandler,0,70,1,13,0,21,1,10,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,AbstractListHandler,0,19,0,2,0,5,0,3,0,2
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ColumnListHandler,0,37,0,2,0,13,0,6,0,5
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,MapListHandler,0,15,0,0,0,6,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,BeanMapHandler,0,63,0,2,0,18,0,8,0,7
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,BeanListHandler,0,21,0,0,0,7,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,BeanHandler,0,26,0,2,0,7,0,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,MapHandler,0,20,0,2,0,6,0,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ArrayHandler,0,28,0,2,0,8,0,5,0,4
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ScalarHandler,0,42,0,4,0,15,0,7,0,5
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,AbstractKeyedHandler,0,25,0,2,0,6,0,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,ArrayListHandler,0,15,0,0,0,6,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers,KeyedHandler,0,54,0,2,0,17,0,8,0,7
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,BooleanColumnHandler,0,20,1,3,0,3,1,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,LongColumnHandler,0,20,1,3,0,3,1,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,ByteColumnHandler,0,20,1,3,0,3,1,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,FloatColumnHandler,0,20,1,3,0,3,1,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,DoubleColumnHandler,0,20,0,4,0,3,0,5,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,StringColumnHandler,0,11,0,0,0,3,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,IntegerColumnHandler,0,20,0,4,0,3,0,5,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,SQLXMLColumnHandler,0,11,0,0,0,3,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,TimestampColumnHandler,0,11,0,0,0,3,0,3,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.handlers.columns,ShortColumnHandler,0,20,1,3,0,3,1,4,0,3
Apache Commons DbUtils,org.apache.commons.dbutils.wrappers,SqlNullCheckedResultSet,0,310,1,23,0,91,1,57,0,46
Apache Commons DbUtils,org.apache.commons.dbutils.wrappers,StringTrimmedResultSet,0,38,1,5,0,10,1,5,0,3
